what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1498043280044
java.version,sysinfo,,,"1.7.0_09",1498043280044
java.vm.info,sysinfo,,,"mixed mode",1498043280044
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1498043280044
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1498043280044
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1498043280044
java.vm.specification.version,sysinfo,,,"1.7",1498043280044
java.vm.vendor,sysinfo,,,"Oracle Corporation",1498043280044
java.vm.version,sysinfo,,,"23.5-b02",1498043280044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043280065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043282496
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1498043284481
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1498043284484
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1498043284510
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1498043284519
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1498043284543
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1498043284545
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1498043284547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043284892
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1498043318467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043401363
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1498043401370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043404746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043468280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1498043468285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043469548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043543363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043546226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1498043550288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1498043610522
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1498043658634
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1498043661123
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1498043661143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043701772
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1498043701780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043702055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043755060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043789178
error,log,,,"An error occurred while collecting items to be installed",1498043825931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043834249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043835655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043846814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043847488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043848450
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498043848524
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1498043848775
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1498043848776
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1498043848776
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1498043848777
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1498043848777
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1498043848778
stopped,bundle,com.caucho.resin.eclipse,4.0.19,"com.caucho.resin.eclipse",1498043848778
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1498043848779
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1498043848779
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1498043848780
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1498043848781
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1498043848781
